	Algorithm1	Algorithm2	Algorithm3	Algorithm4	T1(n)	T2(n)	T3(n)	T4(n)
5	800	500	600	100	448	213	242	75
10	3500	1300	1500	300	2138	718	621	145
15	8600	2400	2200	400	5828	1523	1046	215
20	17400	3900	3500	500	12268	2628	1500	285
25	30200	5600	4800	600	22208	4033	1976	355
30	48300	7700	5300	700	36398	5738	2469	425
35	71600	10400	6800	1000	55588	7743	2977	495
40	102300	13400	7900	1100	80528	10048	3497	565
45	140400	16500	9100	1100	111968	12653	4028	635
50	184900	19800	10600	1300	150658	15558	4569	705
55	237700	24000	12100	1500	197348	18763	5118	775
60	303500	28600	12000	1700	252788	22268	5675	845
65	379600	32100	13300	1700	317728	26073	6240	915
70	465500	37300	15200	1900	392918	30178	6811	985
75	556300	42100	15900	2000	479108	34583	7388	1055
80	667700	48000	16500	2100	577048	39288	7972	1125
85	793500	53800	18200	2400	687488	44293	8560	1195
90	929700	60100	18900	2600	811178	49598	9154	1265
95	1.08E+06	66300	19600	2600	948868	55203	9752	1335
100	1.26E+06	74000	22200	2600	1.10E+06	61108	10355	1405
